#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_aguas_virt;Circuito das Águas;Circuito das Águas;Circuito das Águas;;Circuito das Águas;;;;;;;;;x
d_aguas_virt_adj;Aguano;;Aguano;;;;;;;;;;;x
d_aironia;Aironia;Aironia;Aironia;;Aironia;;;;;;;;;x
d_aironia_adj;Aironian;;aironer;;;;;;;;;;;x
d_alagoas;Alagoas;Alagoas;Alagoas;;Alagoas;;;;;;;;;x
d_alagoas_adj;Alagoasian;;alagoaser;;;;;;;;;;;x
d_altamira;Altamira;Altamira;Altamira;;Altamira;;;;;;;;;x
d_altamira_adj;Altamiran;;altamirer;;;;;;;;;;;x
d_alto_medio;Alto-Médio;Alto-Médio;Alto-Médio;;Alto-Médio;;;;;;;;;x
d_alto_medio_adj;Alto-Médian;;alto-méder;;;;;;;;;;;x
d_serra_nova;Serra Nova;Serra Nova;Serra Nova;;Serra Nova;;;;;;;;;x
d_serra_nova_adj;Novo Serrano;;novoserran;;;;;;;;;;;x
d_paracatu;Paracatu;Paracatu;Paracatu;;Paracatu;;;;;;;;;x
d_paracatu_adj;paracatuense;;paracatuer;;;;;;;;;;;x
d_alto_paraiba;Alto Paraíba;Alto Paraíba;Alto Paraíba;;Alto Paraíba;;;;;;;;;x
d_alto_paraiba_adj;Paraibano;;Paraibano;;;;;;;;;;;x
d_alto_parnaiba;Alto Parnaíba;Alto Parnaíba;Alto Parnaíba;;Alto Parnaíba;;;;;;;;;x
d_alto_parnaiba_adj;Alto Parnaíban;;Alto Parnaíber;;;;;;;;;;;x
d_alto_pontal;Alto Pontal;Alto Pontal;Alto Pontal;;Alto Pontal;;;;;;;;;x
d_alto_pontal_adj;Alto-Pontalense;;Alto-Pontalense;;;;;;;;;;;x
d_alto_uruguai;Alto Uruguai;Alto Uruguai;Alto Uruguai;;Alto Uruguai;;;;;;;;;x
d_alto_uruguai_adj;Alto Urugian;;Alto Uruger;;;;;;;;;;;x
d_amapa;Amapá;Amapá;Amapá;;Amapá;;;;;;;;;x
d_amapa_adj;Amapáian;;amapáer;;;;;;;;;;;x
d_amazonas;Amazonas;Amazonas;Amazonas;;Amazonas;;;;;;;;;x
d_amazonas_adj;Amazonasian;;amazonaser;;;;;;;;;;;x
d_amotape;Amotape;Amotape;Amotape;;Amotape;;;;;;;;;x
d_amotape_adj;Amotapean;;amotaper;;;;;;;;;;;x
d_ancash;Ancash;Ancash;Ancash;;Ancash;;;;;;;;;x
d_ancash_adj;Ancashian;;ancasher;;;;;;;;;;;x
d_anejo;Anejo;Anejo;Anejo;;Anejo;;;;;;;;;x
d_anejo_adj;Anejian;;anejer;;;;;;;;;;;x
d_angelim;Angelim;Angelim;Angelim;;Angelim;;;;;;;;;x
d_angelim_adj;Angelimian;;angelimer;;;;;;;;;;;x
d_antofagasta;Antofagasta;Antofagasta;Antofagasta;;Antofagasta;;;;;;;;;x
d_antofagasta_adj;Antofagastan;;antofagaster;;;;;;;;;;;x
d_aracatuba;Araçatuba;;Araçatuba;;;;;;;;;;;x
d_aracatuba_adj;Araçatubense;;Araçatubense;;;;;;;;;;;x
d_araguaia;Araguaia;Araguaia;Araguaia;;Araguaia;;;;;;;;;x
d_araguaia_adj;Araguaian;;arager;;;;;;;;;;;x
d_arapei;Arapeí;Arapeí;Arapeí;;Arapeí;;;;;;;;;x
d_arapei_adj;Arapeíian;;arapeíer;;;;;;;;;;;x
d_ararangua;Araranguá;Araranguá;Araranguá;;Araranguá;;;;;;;;;x
d_ararangua_adj;Araranguáian;;araranguáer;;;;;;;;;;;x
d_araucania;Araucanía;Araucanía;Araucanía;;Araucanía;;;;;;;;;x
d_araucania_adj;Araucanían;;araucaníer;;;;;;;;;;;x
d_araxas;Araxá;Araxá;Araxá;;Araxá;;;;;;;;;x
d_araxas_adj;Araxasian;;araxaser;;;;;;;;;;;x
d_arequipa;Arequipa;Arequipa;Arequipa;;Arequipa;;;;;;;;;x
d_arequipa_adj;Arequipan;;arequiper;;;;;;;;;;;x
d_atlantico;Atlántico;Atlántico;Atlántico;;Atlántico;;;;;;;;;x
d_atlantico_adj;Atlántician;;atlánticer;;;;;;;;;;;x
d_ayacucho;Ayacucho;Ayacucho;Ayacucho;;Ayacucho;;;;;;;;;x
d_ayacucho_adj;Ayacuchian;;ayacucher;;;;;;;;;;;x
d_aysen;Aysén;Aysén;Aysén;;Aysén;;;;;;;;;x
d_aysen_adj;Aysénian;;ayséner;;;;;;;;;;;x
d_azul;Azul;Azul;Azul;;Azul;;;;;;;;;x
d_azul_adj;Azulian;;azuler;;;;;;;;;;;x
d_baires;Baires;Baires;Baires;;Baires;;;;;;;;;x
d_baires_adj;Bairesian;;baireser;;;;;;;;;;;x
d_baixo_parnaiba;Baixo Parnaíba;Baixo Parnaíba;Baixo Parnaíba;;Baixo Parnaíba;;;;;;;;;x
d_baixo_parnaiba_adj;Baixo Parnaíban;;Baixo Parnaíber;;;;;;;;;;;x
d_bariloche;Bariloche;Bariloche;Bariloche;;Bariloche;;;;;;;;;x
d_bariloche_adj;Barilochean;;barilocher;;;;;;;;;;;x
d_barra_das_garcas;Barra das Garças;Barra das Garças;Barra das Garças;;Barra das Garças;;;;;;;;;x
d_barra_das_garcas_adj;Barra das Garçasian;;Barra das Garçaser;;;;;;;;;;;x
d_barreiras;Barreiras;Barreiras;Barreiras;;Barreiras;;;;;;;;;x
d_barreiras_adj;Barreirasian;;barreiraser;;;;;;;;;;;x
d_barreiro_grande;Barreiro Grande;Barreiro Grande;Barreiro Grande;;Barreiro Grande;;;;;;;;;x
d_barreiro_grande_adj;Barreiro Grandean;;Barreiro Grander;;;;;;;;;;;x
d_belem;Belém;Belém;Belém;;Belém;;;;;;;;;x
d_belem_adj;Belémian;;belémer;;;;;;;;;;;x
d_belzonte;Beagá;Beagá;Beagá;;Beagá;;;;;;;;;x
d_belzonte_adj;Belzontean;;belzonter;;;;;;;;;;;x
d_beni;Beni;Beni;Beni;;Beni;;;;;;;;;x
d_beni_adj;Benian;;bener;;;;;;;;;;;x
d_biedma;Biedma;Biedma;Biedma;;Biedma;;;;;;;;;x
d_biedma_adj;Biedman;;biedmaner;;;;;;;;;;;x
d_biobio;Biobío;Biobío;Biobío;;Biobío;;;;;;;;;x
d_biobio_adj;Biobíian;;biobíer;;;;;;;;;;;x
d_blanca;Blanca;Blanca;Blanca;;Blanca;;;;;;;;;x
d_blanca_adj;Blancan;;blancer;;;;;;;;;;;x
d_boca_do_monte;Boca do Monte;Boca do Monte;Boca do Monte;;Boca do Monte;;;;;;;;;x
d_boca_do_monte_adj;Boca do Montean;;Boca do Monter;;;;;;;;;;;x
d_brumado;Brumado;Brumado;Brumado;;Brumado;;;;;;;;;x
d_brumado_adj;Brumadian;;brumader;;;;;;;;;;;x
d_campanha;Campanha;Campanha;Campanha;;Campanha;;;;;;;;;x
d_campanha_adj;Campanhan;;campanher;;;;;;;;;;;x
d_campinas;Campinas;Campinas;Campinas;;Campinas;;;;;;;;;x
d_campinas_adj;Campineiro;;Campineiro;;;;;;;;;;;x
d_campos_de_vacaria;Campos de Vacaria;Campos de Vacaria;Campos de Vacaria;;Campos de Vacaria;;;;;;;;;x
d_campos_de_vacaria_adj;Campos de Vacarian;;Campos de Vacarer;;;;;;;;;;;x
d_caparao;Caparaó;Caparaó;Caparaó;;Caparaó;;;;;;;;;x
d_caparao_adj;Caparoense;;caparer;;;;;;;;;;;x
d_piranga;Viçosa;Viçosa;Viçosa;;Viçosa;;;;;;;;;x
d_piranga_adj;Viçosense;;Viçosense;;;;;;;;;;;x
d_capibaribe;Capibaribe;Capibaribe;Capibaribe;;Capibaribe;;;;;;;;;x
d_capibaribe_adj;Capibaribean;;capibariber;;;;;;;;;;;x
d_capivari;Capivari;Capivari;Capivari;;Capivari;;;;;;;;;x
d_capivari_adj;Capivarian;;capivarer;;;;;;;;;;;x
d_carajas;Carajás;Carajás;Carajás;;Carajás;;;;;;;;;x
d_carajas_adj;Carajásian;;carajáser;;;;;;;;;;;x
d_carinhanha;Carinhanha;Carinhanha;Carinhanha;;Carinhanha;;;;;;;;;x
d_carinhanha_adj;Carinhanhan;;carinhanher;;;;;;;;;;;x
d_catalonia;Catalonia;Catalonia;Catalonia;;Catalonia;;;;;;;;;x
d_catalonia_adj;Catalonian;;cataloner;;;;;;;;;;;x
d_chaco;Chaco;Chaco;Chaco;;Chaco;;;;;;;;;x
d_chaco_adj;Chacian;;chacer;;;;;;;;;;;x
d_chaco_oriental;Chaco Oriental;Chaco Oriental;Chaco Oriental;;Chaco Oriental;;;;;;;;;x
d_chaco_oriental_adj;Chaco Orientalian;;Chaco Orientaler;;;;;;;;;;;x
d_chanchamayo;Chanchamayo;Chanchamayo;Chanchamayo;;Chanchamayo;;;;;;;;;x
d_chanchamayo_adj;Chanchamaian;;chanchamaer;;;;;;;;;;;x
d_chaparri;Chaparri;Chaparri;Chaparri;;Chaparri;;;;;;;;;x
d_chaparri_adj;Chaparrian;;chaparrer;;;;;;;;;;;x
d_choapa;Choapa;Choapa;Choapa;;Choapa;;;;;;;;;x
d_choapa_adj;Choapan;;choaper;;;;;;;;;;;x
