################
### Loadtips ###
################
LOADING_TIP_0;"Never poke a jaguar with a short stick." - Brazilian Proverb;;;;;;;;;x
LOADING_TIP_1;"Gold, when beaten, shines." - Peruvian Proverb;;;;;;;;;x
LOADING_TIP_2;"A timely 'no' beats a hasty 'yes.'"- Brazilian Proverb;;;;;;;;;x
LOADING_TIP_3;"The devil takes what you've earned undeservedly."- Brazilian Proverb;;;;;;;;;x
LOADING_TIP_4;"One should not eat meat where one earns his bread." - Brazilian Proverb;;;;;;;;;x
LOADING_TIP_5;"A thief thinks that everyone else is also a thief." - Quechua Proverb;;;;;;;;;x
LOADING_TIP_6;"No woman can make a wise man out of a fool, but every woman can change a wise man into a fool."- Argentine Proverb;;;;;;;;x
LOADING_TIP_7;"An altercation is like buttermilk the more you stir it, the sourer it gets." - Bolivian Proverb;;;;;;;;;x
LOADING_TIP_8;"It is God who cures, and the physician gets the money." - Chilean Proverb;;;;;;;;;x
LOADING_TIP_9;"You can't claim heaven as your own if you are just going to sit under it." - Argentine Proverb;;;;;;;;;x
LOADING_TIP_10;"The labor of one who is lazy is double." - Quechua Proverb;;;;;;;;;x
LOADING_TIP_11;"Now I offer you my death. I fear nothing. Serenely I take my first step towards eternity and leave life to enter history." - Getulio Vargas;;;;;;;;;x
LOADING_TIP_12;"Brazil is very unpopular in Brazil." - Nelson Rodrigues;;;;;;;;;x
LOADING_TIP_13;"Being communists, we fear nothing." - Chairman Gonzalo;;;;;;;;;x
LOADING_TIP_14;"I may not be sold, nor do I want more reward for my efforts than to see my nation free from Spanish rule." - Jose Gervasio Artigas;;;;;;;;;x
LOADING_TIP_15;"I die with my nation!" - Francisco Solano Lopez;;;;;;;;;x
LOADING_TIP_16;"The eternal destiny of human beings will be measured by how much or how little solidarity we have displayed with the hungry, the thirsty, the naked, and the oppressed. In the end we will be judged in terms of love." - Leonardo Boff;;;;;;;;;x
LOADING_TIP_17;"When I took over the government I found the government in anarchy, divided into warring factions, reduced to pure chaos, a hell in miniature ..." - Juan Manuel de Rosas;;;;;;;;;x
LOADING_TIP_18;"I have always imagined that Paradise will be a kind of library." - Jorge Luis Borges;;;;;;;;;x
LOADING_TIP_19; "Our President has declared that the only privileged person in our country are the children." - Eva Peron;;;;;;;;;x
LOADING_TIP_20;"Latins are tenderly enthusiastic. In Brazil they throw flowers at you. In Argentina they throw themselves." - Marlene Dietrich;;;;;;;;;x
LOADING_TIP_21;"Heaven and hell seem out of proportion to me: the actions of men do not deserve so much." - Jorge Luis Borges;;;;;;;;;x
LOADING_TIP_22;"An ignorant people is the blind instrument of its own destruction." - Simon Bolivar;;;;;;;;;x
LOADING_TIP_23;"My biggest fear in life is to be forgotten." - Eva Peron;;;;;;;;;x
LOADING_TIP_24;"The People's War begins to sweep away the old order in order to inevitably destroy it. From the old, the new shall be born. And finally, like the pure and glorious phoenix bird, Communism will arise for all time." - Chairman Gonzalo;;;;;;;;;x
LOADING_TIP_25;"The Mexicans descend from the Aztecs, the Peruvians descend from the Incas, the Argentineans descend from the boats." - Carlos Fuentes;;;;;;;;;x
LOADING_TIP_26;"A people that loves freedom will in the end be free." - Simon Bolivar;;;;;;;;;x
LOADING_TIP_27;"Whiskey is man's best friend, it's dog in a bottle." - Vinicius de Moraes;;;;;;;;;x
LOADING_TIP_28;"To do something right it must be done twice. The first time instructs the second." - Simon Bolivar;;;;;;;;;x
LOADING_TIP_29;"Politics is to me the harsh fulfillment of duty." - Pedro II;;;;;;;;;x
LOADING_TIP_30;"For life is a battle, it seems to me, That a man must fight to win." - Jose Hernandez;;;;;;;;;x
LOADING_TIP_31;"One cannot accomplish anything without fanaticism." - Eva Peron;;;;;;;;;x
LOADING_TIP_32;"It was really something to slip into your woman's arms and go to sleep like real people." - Jose Hernandez;;;;;;;;;x
LOADING_TIP_33;"Surprise is key in all art." - Oscar Niemeyer;;;;;;;;;x
LOADING_TIP_34;"I know you are here to kill me. Shoot, coward, you are only going to kill a man." - Che Guevara;;;;;;;;;x
LOADING_TIP_35;"Pacha Kamaq, witness how my enemies shed my blood." - Tupac Amaru I;;;;;;;;;x
LOADING_TIP_36;"...a thousand flocks shall run from the seacoast to the backlands; and then the backlands will turn into seacoast and the seacoast into backlands." - Antonio Conselheiro;;;;;;;;;x
LOADING_TIP_37;"...the water shall turn to blood, and the planet will appear in the east, with the sun's ray, the bough shall find itself on the earth, and the earth some place shall find itself in heaven." - Antonio Conselheiro;;;;;;;;;x
LOADING_TIP_38;"In truth, I say unto you, when nation falls out with nation, Brazil with Brazil, England with England, Prussia with Prussia, then shall Dom Sabastiao with all his army arise from the waves of the sea." - Antonio Conselheiro;;;;;;;;;x
LOADING_TIP_39;"There are unlucky beings who don't know how to do good, They degrade God's law and represent the jackal's law." - Unknown;;;;;;;;;x
LOADING_TIP_40;"I will come again, and I will be millions." - Tupac Amaru II;;;;;;;;;x
LOADING_TIP_41;"The Falklands thing was a fight between two bald men over a comb." - Jorge Luis Borges;;;;;;;;;x
LOADING_TIP_42;"As for my faith, I will not change it. Your own God, as you tell me, was put to death by the very men He created. But my God still looks down on His children." - Atahualpa;;;;;;;;;x
LOADING_TIP_43;"As for your pope of whom you speak, he must be mad to speak of giving away countries that do not belong to him." - Atahualpa;;;;;;;;;x
LOADING_TIP_44;"An American monkey, after getting drunk on brandy, would never touch it again, and thus is much wiser than most men." - Charles Darwin;;;;;;;;;x
LOADING_TIP_45;"Placed in a historic transition, I will pay for loyalty to the people with my life." - Salvador Allende;;;;;;;;;x
LOADING_TIP_46;"The works of art and the architectural style of the prehistoric city are certainly not of Indian origin, Rather they are probably the creations of Nordic men who arrived in the Andean highlands as representatives of a special civilization." - Edmund Kiss;;;;;;;;;x
LOADING_TIP_47;"I am also surprised to find as I gaze into the pale mirror with open eyes that there is so much in me beyond what is known, so much that remains ever silent." - Clarice Lispector;;;;;;;;;x
LOADING_TIP_48;"Freedom isn't enough. What I desire doesn't have a name yet." - Clarice Lispector;;;;;;;;;x
LOADING_TIP_49;"Such vastness of the enormous treeline, with abundant foliage, that is incalculable." - Pero Vaz de Caminha;;;;;;;;;x
LOADING_TIP_50;"Marcela loved me for fifteen months and eleven thousand reis; nothing less." - Machado de Assis;;;;;;;;;x
LOADING_TIP_51;"You can cut all the flowers but you cannot keep Spring from coming." - Pablo Neruda;;;;;;;;;x
