#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_abaete;Abaeté;Abaeté;Abaeté;;Abaeté;;;;;;;;;x
c_abaete_adj;Abaetéian;;abaetéer;;;;;;;;;;;x
c_abufari;Abufari;Abufari;Abufari;;Abufari;;;;;;;;;x
c_abufari_adj;Abufarian;;abufarer;;;;;;;;;;;x
c_acarau;Acaraú;Acaraú;Acaraú;;Acaraú;;;;;;;;;x
c_acarau_adj;Acaraúian;;acaraúer;;;;;;;;;;;x
c_adamantina;Adamantina;Adamantina;Adamantina;;Adamantina;;;;;;;;;x
c_adamantina_adj;Adamantinan;;adamantiner;;;;;;;;;;;x
c_agua_boa;Água Boa;Água Boa;Água Boa;;Água Boa;;;;;;;;;x
c_agua_boa_adj;Água Boan;;Água Ber;;;;;;;;;;;x
c_aimores;Aimorés;Aimorés;Aimorés;;Aimorés;;;;;;;;;x
c_aimores_adj;Aimorésian;;aimoréser;;;;;;;;;;;x
c_alagoinhas;Alagoinhas;Alagoinhas;Alagoinhas;;Alagoinhas;;;;;;;;;x
c_alagoinhas_adj;Alagoinhasian;;alagoinhaser;;;;;;;;;;;x
c_alegrete;Alegrete;Alegrete;Alegrete;;Alegrete;;;;;;;;;x
c_alegrete_adj;Alegretean;;alegreter;;;;;;;;;;;x
c_alem_paraiba;Além Paraíba;Além Paraíba;Além Paraíba;;Além Paraíba;;;;;;;;;x
c_alem_paraiba_adj;Além Paraíban;;Além Paraíber;;;;;;;;;;;x
c_alenquer;Alenquer;Alenquer;Alenquer;;Alenquer;;;;;;;;;x
c_alenquer_adj;Alenquerian;;alenquerer;;;;;;;;;;;x
c_almenara;Almenara;Almenara;Almenara;;Almenara;;;;;;;;;x
c_almenara_adj;Almenaran;;almenarer;;;;;;;;;;;x
c_almerim;Almerim;Almerim;Almerim;;Almerim;;;;;;;;;x
c_almerim_adj;Almerimian;;almerimer;;;;;;;;;;;x
c_altamira;Altamira;Altamira;Altamira;;Altamira;;;;;;;;;x
c_altamira_adj;Altamiran;;altamirer;;;;;;;;;;;x
c_alto_amazonas;Alto Amazonas;Alto Amazonas;Alto Amazonas;;Alto Amazonas;;;;;;;;;x
c_alto_amazonas_adj;Alto Amazonasian;;Alto Amazonaser;;;;;;;;;;;x
c_alto_del_carmen;Alto del Carmen;Alto del Carmen;Alto del Carmen;;Alto del Carmen;;;;;;;;;x
c_alto_del_carmen_adj;Alto del Carmenian;;Alto del Carmener;;;;;;;;;;;x
c_alto_itapecuru;Alto Itapecuru;Alto Itapecuru;Alto Itapecuru;;Alto Itapecuru;;;;;;;;;x
c_alto_itapecuru_adj;Alto Itapecurian;;Alto Itapecurer;;;;;;;;;;;x
c_alto_paraguay;Alto Paraguay;Alto Paraguay;Alto Paraguay;;Alto Paraguay;;;;;;;;;x
c_alto_paraguay_adj;Alto Paraguaian;;Alto Paraguaer;;;;;;;;;;;x
c_alto_rio_doce;Alto Rio Doce;Alto Rio Doce;Alto Rio Doce;;Alto Rio Doce;;;;;;;;;x
c_alto_rio_doce_adj;Alto Rio Docean;;Alto Rio Docer;;;;;;;;;;;x
c_alvear;Alvear;Alvear;Alvear;;Alvear;;;;;;;;;x
c_alvear_adj;Alvearian;;alvearer;;;;;;;;;;;x
c_amajari;Amajari;Amajari;Amajari;;Amajari;;;;;;;;;x
c_amajari_adj;Amajarian;;amajarer;;;;;;;;;;;x
c_amambay;Amambay;Amambay;Amambay;;Amambay;;;;;;;;;x
c_amambay_adj;Amambaian;;amambaer;;;;;;;;;;;x
c_amatura;Amaturá;Amaturá;Amaturá;;Amaturá;;;;;;;;;x
c_amatura_adj;Amaturáian;;amaturáer;;;;;;;;;;;x
c_americana;Americana;Americana;Americana;;Americana;;;;;;;;;x
c_americana_adj;Americanan;;americaner;;;;;;;;;;;x
c_anajas;Anajás;Anajás;Anajás;;Anajás;;;;;;;;;x
c_anajas_adj;Anajásian;;anajáser;;;;;;;;;;;x
c_anama;Anamã;Anamã;Anamã;;Anamã;;;;;;;;;x
c_anama_adj;Anamenho;;anamenho;;;;;;;;;;;x
c_anapolis;Anapolis;Anapolis;Anapolis;;Anapolis;;;;;;;;;x
c_anapolis_adj;Anapolisian;;anapoliser;;;;;;;;;;;x
c_andradina;Andradina;Andradina;Andradina;;Andradina;;;;;;;;;x
c_andradina_adj;Andradinan;;andradiner;;;;;;;;;;;x
c_angra_dos_reis;Angra dos Reis;Angra dos Reis;Angra dos Reis;;Angra dos Reis;;;;;;;;;x
c_angra_dos_reis_adj;Angra dos Reisian;;Angra dos Reiser;;;;;;;;;;;x
c_antofagasta;Antofagasta;Antofagasta;Antofagasta;;Antofagasta;;;;;;;;;x
c_antofagasta_adj;Antofagastan;;antofagaster;;;;;;;;;;;x
c_apace;Apacê;Apacê;Apacê;;Apacê;;;;;;;;;x
c_apace_adj;Apacêian;;apacêer;;;;;;;;;;;x
c_apeleg;Apeleg;Apeleg;Apeleg;;Apeleg;;;;;;;;;x
c_apeleg_adj;Apelegian;;apeleger;;;;;;;;;;;x
