#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_25_de_mayo;25 de Mayo;25 de Mayo;25 de Mayo;;25 de Mayo;;;;;;;;;x
b_25_de_mayo_adj;25 de Maian;;25 de Maer;;;;;;;;;;;x
b_25_de_mayo_2;25 de Mayo;25 de Mayo;25 de Mayo;;25 de Mayo;;;;;;;;;x
b_25_de_mayo_2_adj;25 de Maian;;25 de Maer;;;;;;;;;;;x
b_25_de_mayo_3;25 de Mayo;25 de Mayo;25 de Mayo;;25 de Mayo;;;;;;;;;x
b_25_de_mayo_3_adj;25 de Maian;;25 de Maer;;;;;;;;;;;x
b_28_de_noviembre;28 de Noviembre;28 de Noviembre;28 de Noviembre;;28 de Noviembre;;;;;;;;;x
b_28_de_noviembre_adj;28 de Noviembrean;;28 de Noviembrer;;;;;;;;;;;x
b_abaiara;Abaiara;Abaiara;Abaiara;;Abaiara;;;;;;;;;x
b_abaiara_adj;Abaiaran;;abaiarer;;;;;;;;;;;x
b_abaiba;Abaíba;Abaíba;Abaíba;;Abaíba;;;;;;;;;x
b_abaiba_adj;Abaíban;;abaíber;;;;;;;;;;;x
b_abancay;Abancay;Abancay;Abancay;;Abancay;;;;;;;;;x
b_abancay_adj;Abancaian;;abancaer;;;;;;;;;;;x
b_abapa;Abapã;Abapã;Abapã;;Abapã;;;;;;;;;x
b_abapa_adj;Abapãian;;abapãer;;;;;;;;;;;x
b_abare;Abaré;Abaré;Abaré;;Abaré;;;;;;;;;x
b_abare_adj;Abaréian;;abaréer;;;;;;;;;;;x
b_abarebebe;Abarebebê;Abarebebê;Abarebebê;;Abarebebê;;;;;;;;;x
b_abarebebe_adj;Abarebebêian;;abarebebêer;;;;;;;;;;;x
b_abarebebe_2;Abarebebê;Abarebebê;Abarebebê;;Abarebebê;;;;;;;;;x
b_abarebebe_2_adj;Abarebebêian;;abarebebêer;;;;;;;;;;;x
b_abasto;Abasto;Abasto;Abasto;;Abasto;;;;;;;;;x
b_abasto_adj;Abastian;;abaster;;;;;;;;;;;x
b_abbott;Abbott;Abbott;Abbott;;Abbott;;;;;;;;;x
b_abbott_adj;Abbottian;;abbotter;;;;;;;;;;;x
b_abecia;Abecia;Abecia;Abecia;;Abecia;;;;;;;;;x
b_abecia_adj;Abecian;;abecer;;;;;;;;;;;x
b_aberastain;Aberastain;Aberastain;Aberastain;;Aberastain;;;;;;;;;x
b_aberastain_adj;Aberastainian;;aberastainer;;;;;;;;;;;x
b_abobral;Abobral;Abobral;Abobral;;Abobral;;;;;;;;;x
b_abobral_adj;Abobralian;;abobraler;;;;;;;;;;;x
b_abra_pampa;Abra Pampa;Abra Pampa;Abra Pampa;;Abra Pampa;;;;;;;;;x
b_abra_pampa_adj;Abra Pampan;;Abra Pamper;;;;;;;;;;;x
b_abre_campo;Abre Campo;Abre Campo;Abre Campo;;Abre Campo;;;;;;;;;x
b_abre_campo_adj;Abre Campian;;Abre Camper;;;;;;;;;;;x
b_abreus;Abreus;Abreus;Abreus;;Abreus;;;;;;;;;x
b_abreus_adj;Abreusian;;abreuser;;;;;;;;;;;x
b_abufari;Abufari;Abufari;Abufari;;Abufari;;;;;;;;;x
b_abufari_adj;Abufarian;;abufarer;;;;;;;;;;;x
b_acahay;Acahay;Acahay;Acahay;;Acahay;;;;;;;;;x
b_acahay_adj;Acahaian;;acahaer;;;;;;;;;;;x
b_acailandia;Açailândia;Açailândia;Açailândia;;Açailândia;;;;;;;;;x
b_acailandia_adj;Açailândian;;açailânder;;;;;;;;;;;x
b_acara;Acará;Acará;Acará;;Acará;;;;;;;;;x
b_acara_adj;Acaráian;;acaráer;;;;;;;;;;;x
b_acarai;Acaraí;Acaraí;Acaraí;;Acaraí;;;;;;;;;x
b_acarai_adj;Acaraíian;;acaraíer;;;;;;;;;;;x
b_acarai_2;Acarái;Acarái;Acarái;;Acarái;;;;;;;;;x
b_acarai_2_adj;Acaráian;;acaráer;;;;;;;;;;;x
b_acari;Acarí;Acarí;Acarí;;Acarí;;;;;;;;;x
b_acari_adj;Acaríian;;acaríer;;;;;;;;;;;x
b_acariquara;Acariquara;Acariquara;Acariquara;;Acariquara;;;;;;;;;x
b_acariquara_adj;Acariquaran;;acariquarer;;;;;;;;;;;x
b_acegua;Aceguá;Aceguá;Aceguá;;Aceguá;;;;;;;;;x
b_acegua_adj;Aceguáian;;aceguáer;;;;;;;;;;;x
b_acegua_2;Aceguá;Aceguá;Aceguá;;Aceguá;;;;;;;;;x
b_acegua_2_adj;Aceguáian;;aceguáer;;;;;;;;;;;x
b_acequias;Acequias;Acequias;Acequias;;Acequias;;;;;;;;;x
b_acequias_adj;Acequiasian;;acequiaser;;;;;;;;;;;x
b_acevedo;Acevedo;Acevedo;Acevedo;;Acevedo;;;;;;;;;x
b_acevedo_adj;Acevedian;;aceveder;;;;;;;;;;;x
b_achacachi;Achacachi;Achacachi;Achacachi;;Achacachi;;;;;;;;;x
b_achacachi_adj;Achacachian;;achacacher;;;;;;;;;;;x
b_achao;Achao;Achao;Achao;;Achao;;;;;;;;;x
b_achao_adj;Achian;;acher;;;;;;;;;;;x
b_achico;Achico;Achico;Achico;;Achico;;;;;;;;;x
b_achico_adj;Achician;;achicer;;;;;;;;;;;x
b_achiras;Achiras;Achiras;Achiras;;Achiras;;;;;;;;;x
b_achiras_adj;Achirasian;;achiraser;;;;;;;;;;;x
b_achocalla;Achocalla;Achocalla;Achocalla;;Achocalla;;;;;;;;;x
b_achocalla_adj;Achocallan;;achocaller;;;;;;;;;;;x
b_acitine;Acitine;Acitine;Acitine;;Acitine;;;;;;;;;x
b_acitine_adj;Acitinean;;acitiner;;;;;;;;;;;x
b_acobamba;Acobamba;Acobamba;Acobamba;;Acobamba;;;;;;;;;x
b_acobamba_adj;Acobamban;;acobamber;;;;;;;;;;;x
b_acobamba_2;Acobamba;Acobamba;Acobamba;;Acobamba;;;;;;;;;x
b_acobamba_2_adj;Acobamban;;acobamber;;;;;;;;;;;x
b_acomayo;Acomayo;Acomayo;Acomayo;;Acomayo;;;;;;;;;x
b_acomayo_adj;Acomaian;;acomaer;;;;;;;;;;;x
b_acorizal;Acorizal;Acorizal;Acorizal;;Acorizal;;;;;;;;;x
b_acorizal_adj;Acorizalian;;acorizaler;;;;;;;;;;;x
b_acrelandia;Acrelândia;Acrelândia;Acrelândia;;Acrelândia;;;;;;;;;x
b_acrelandia_adj;Acrelândian;;acrelânder;;;;;;;;;;;x
b_acu_da_torre;Açu da Torre;Açu da Torre;Açu da Torre;;Açu da Torre;;;;;;;;;x
b_acu_da_torre_adj;Açu da Torrean;;Açu da Torrer;;;;;;;;;;;x
b_acu_de_chao;Açu de Chão;Açu de Chão;Açu de Chão;;Açu de Chão;;;;;;;;;x
b_acu_de_chao_adj;Açu de Chãian;;Açu de Chãer;;;;;;;;;;;x
b_acuarelas;Acuarelas;Acuarelas;Acuarelas;;Acuarelas;;;;;;;;;x
b_acuarelas_adj;Acuarelasian;;acuarelaser;;;;;;;;;;;x
b_acucena;Açucena;Açucena;Açucena;;Açucena;;;;;;;;;x
b_acucena_adj;Açucenan;;açucener;;;;;;;;;;;x
b_acucena_2;Açucena;Açucena;Açucena;;Açucena;;;;;;;;;x
b_acucena_2_adj;Açucenan;;açucener;;;;;;;;;;;x
b_acupe;Acupe;;;;;;;;;;;x
b_acupe;Acupean;;;;;;;;;;;;x
b_acupi;Acupi;;;;;;;;;;;x
b_acupi_adj;Acupian;;;;;;;;;;;x
b_adao_colares;Adão Colares;Adão Colares;Adão Colares;;Adão Colares;;;;;;;;;x
b_adao_colares_adj;Adão Colaresian;;Adão Colareser;;;;;;;;;;;x
b_adela;Adela;Adela;Adela;;Adela;;;;;;;;;x
b_adela_adj;Adelan;;adeler;;;;;;;;;;;x
b_adelanapolis;Adelanapolis;Adelanapolis;Adelanapolis;;Adelanapolis;;;;;;;;;x
