################
### Retinues ###
################
RETTYPE_CUL_RECIFOLINDENSE;Caboclo de Lança;;;;;;;;;;;x
RETTYPE_CUL_LAGOANO;Guerreiro Alagoano;;;;;;;;;;;x
RETTYPE_CUL_NATALENSE;Snakecatchers;;;;;;;;;;;x
RETTYPE_CUL_CEARENSE;Vaqueiros;;;;;;;;;;;x
RETTYPE_CUL_SERTANEJO;Cangaceiros;;;;;;;;;;;x
RETTYPE_CUL_PANKARARU;Praiá;;;;;;;;;;;x
RETTYPE_CUL_XUKURU;Derarí;;;;;;;;;;;x
RETTYPE_CUL_KARIRI;Kemké;;;;;;;;;;;x
RETTYPE_CUL_TREMEMBE;Brabo;;;;;;;;;;;x
RETTYPE_CUL_POTIGUARA;Shrimpeaters;;;;;;;;;;;x
RETTYPE_CUL_BANDEIRANTE;Bandeirantes;;;;;;;;;;;x
